id	name	alt_accession	tax_id	pathways	aliases	topology
323	Uniprot:P33993		taxid:9606			
324	Uniprot:Q9UBU7		taxid:9606			
325	Uniprot:O00311		taxid:9606			
326	Uniprot:Q96AY2		taxid:9606			
327	Uniprot:Q00535		taxid:9606	Receptor tyrosine kinase		Mediator
328	Uniprot:K7EP08		taxid:9606	Innate immune pathways		
329	Uniprot:D6REC6		taxid:9606			
330	Uniprot:H0YJF2		taxid:9606			
331	Uniprot:Q9HCS7		taxid:9606			
332	Uniprot:P23025		taxid:9606			
333	Uniprot:K7ER89		taxid:9606			
334	Uniprot:Q01831		taxid:9606			
335	Uniprot:A0A087WX51		taxid:9606			
336	Uniprot:D6RAI7		taxid:9606			
337	Uniprot:M0QZ96		taxid:9606			
338	Uniprot:Q16531		taxid:9606			
339	Uniprot:Q96NY9		taxid:9606			
340	Uniprot:A0A2R8Y713		taxid:9606			
341	Uniprot:Q8IY92		taxid:9606			
342	Uniprot:F2Z298		taxid:9606			
343	Uniprot:P54278		taxid:9606			
344	Uniprot:Q7Z5Q5		taxid:9606			
345	Uniprot:Q14691		taxid:9606			
346	Uniprot:Q9BRX5		taxid:9606			
347	Uniprot:Q9BRT9		taxid:9606			
348	Uniprot:O60921		taxid:9606			
349	Uniprot:O60671		taxid:9606			
350	Uniprot:G8JL98		taxid:9606			
351	Uniprot:C9J858		taxid:9606			
352	Uniprot:P61088		taxid:9606	Innate immune pathways|JAK/STAT		
353	Uniprot:C9J8Y8		taxid:9606			
354	Uniprot:E9PIC6		taxid:9606			
355	Uniprot:Q9Y253		taxid:9606			
356	Uniprot:H7C263		taxid:9606			
357	Uniprot:F8WAZ7		taxid:9606			
358	Uniprot:P53041		taxid:9606			
359	Uniprot:C9JC88		taxid:9606			
360	Uniprot:O14727		taxid:9606	TNF pathway		
361	Uniprot:G3V3U1		taxid:9606			
362	Uniprot:F8W086		taxid:9606			
363	Uniprot:H7BZE5		taxid:9606			
364	Uniprot:P63167		taxid:9606			
365	Uniprot:Q5F2F8		taxid:9606	Receptor tyrosine kinase		
366	Uniprot:P63098		taxid:9606	B-cell receptor|Receptor tyrosine kinase		
367	Uniprot:P03886		taxid:9606			
368	Uniprot:P03891		taxid:9606			
369	Uniprot:P03905		taxid:9606			
370	Uniprot:P03915		taxid:9606			
371	Uniprot:P03923		taxid:9606			
372	Uniprot:O15239		taxid:9606			
373	Uniprot:F8WEH0		taxid:9606			
374	Uniprot:K7EQ77		taxid:9606			
375	Uniprot:Q9UI09		taxid:9606			
376	Uniprot:K7EJE1		taxid:9606			
377	Uniprot:O43678		taxid:9606			
378	Uniprot:A8MYJ8		taxid:9606			
379	Uniprot:O00483		taxid:9606			
380	Uniprot:A0A087WXR5		taxid:9606			
381	Uniprot:R4GN43		taxid:9606			
382	Uniprot:M0R1K9		taxid:9606			
383	Uniprot:P51970		taxid:9606			
384	Uniprot:Q16795		taxid:9606			
385	Uniprot:I3L505		taxid:9606			
386	Uniprot:O75438		taxid:9606			
387	Uniprot:H3BPJ9		taxid:9606			
388	Uniprot:Q9NX14		taxid:9606			
389	Uniprot:C9IZW8		taxid:9606			
390	Uniprot:O43676		taxid:9606			
391	Uniprot:F2Z3P9		taxid:9606			
392	Uniprot:H0Y886		taxid:9606			
393	Uniprot:O95139		taxid:9606			
394	Uniprot:P17568		taxid:9606			
395	Uniprot:E9PIZ8		taxid:9606			
396	Uniprot:E9PH64		taxid:9606			
397	Uniprot:O43677		taxid:9606			
398	Uniprot:O95298		taxid:9606			
399	Uniprot:B4DJ81		taxid:9606			
400	Uniprot:O75306		taxid:9606			
401	Uniprot:E9PKL8		taxid:9606			
402	Uniprot:O43181		taxid:9606			
403	Uniprot:O43920		taxid:9606			
404	Uniprot:D6RBT3		taxid:9606			
405	Uniprot:O75251		taxid:9606			
406	Uniprot:E9PPE0		taxid:9606			
407	Uniprot:P19404		taxid:9606			
408	Uniprot:P56181		taxid:9606			
409	Uniprot:P03897		taxid:9606			
410	Uniprot:P03901		taxid:9606			
411	Uniprot:O00217		taxid:9606			
412	Uniprot:Q5SZK4		taxid:9606			
413	Uniprot:P09622		taxid:9606			
414	Uniprot:A0A0D9SFS3		taxid:9606			
415	Uniprot:D6RFM5		taxid:9606			
416	Uniprot:E9PK73		taxid:9606			
417	Uniprot:D6RBX6		taxid:9606			
418	Uniprot:P08574		taxid:9606	T-cell receptor		
419	Uniprot:P00156		taxid:9606			
420	Uniprot:P14927		taxid:9606			
421	Uniprot:F8WEF1		taxid:9606			
422	Uniprot:H3BUE4		taxid:9606			
423	Uniprot:P47985		taxid:9606			
424	Uniprot:P07919		taxid:9606			
425	Uniprot:O14949		taxid:9606			
426	Uniprot:Q99766		taxid:9606			
427	Uniprot:P03928		taxid:9606			
428	Uniprot:P00846		taxid:9606			
429	Uniprot:O00165		taxid:9606			
430	Uniprot:A0A2R8Y798		taxid:9606			
431	Uniprot:P25490		taxid:9606	Notch		
432	Uniprot:P45880		taxid:9606			
433	Uniprot:K7ESM8		taxid:9606	Receptor tyrosine kinase		
434	Uniprot:D6RCD8		taxid:9606			
435	Uniprot:Q9Y375		taxid:9606			
436	Uniprot:Q9Y376		taxid:9606			
437	Uniprot:A0A1W2PP17		taxid:9606			
438	Uniprot:K7EQN8		taxid:9606	Receptor tyrosine kinase		
439	Uniprot:D6RBW1		taxid:9606	Receptor tyrosine kinase		
440	Uniprot:Q12846		taxid:9606			
441	Uniprot:Q13617		taxid:9606			
442	Uniprot:P40337		taxid:9606			
443	Uniprot:J3KPE3		taxid:9606			
444	Uniprot:K7ER46		taxid:9606			
445	Uniprot:Q9P2Y5		taxid:9606			
446	Uniprot:Q13618		taxid:9606	Hedgehog		Co-factor|Transcription factor
447	Uniprot:K7EMY1		taxid:9606			
448	Uniprot:Q9NSE2		taxid:9606	JAK/STAT|Nuclear hormone receptor		Co-factor|Scaffold
449	Uniprot:O95600		taxid:9606			
450	Uniprot:P56545		taxid:9606			
451	Uniprot:P98170		taxid:9606	TNF pathway		
452	Uniprot:Q9UBK2		taxid:9606	Receptor tyrosine kinase		
453	Uniprot:P11474		taxid:9606	Nuclear hormone receptor		Transcription factor
454	Uniprot:Q12778		taxid:9606	Receptor tyrosine kinase|TNF pathway		Transcription factor
455	Uniprot:H3BU60		taxid:9606			
456	Uniprot:E5RHB9		taxid:9606			
457	Uniprot:Q07820		taxid:9606			
458	Uniprot:H0YNT3		taxid:9606			
459	Uniprot:Q16548		taxid:9606			
460	Uniprot:O00291		taxid:9606			
461	Uniprot:C9JB84		taxid:9606			
462	Uniprot:F5GX50		taxid:9606			
463	Uniprot:A0A2R8Y837		taxid:9606			
464	Uniprot:H0YCY7		taxid:9606			
465	Uniprot:Q14318		taxid:9606			
466	Uniprot:C9J469		taxid:9606	Receptor tyrosine kinase		
467	Uniprot:Q13619		taxid:9606			
468	Uniprot:O60264		taxid:9606			
469	Uniprot:Q9UIG0		taxid:9606			
470	Uniprot:P46736		taxid:9606			
471	Uniprot:Q9UM11		taxid:9606			
472	Uniprot:Q9UH92		taxid:9606			
473	Uniprot:F5H0V4		taxid:9606			
474	Uniprot:F5GWJ4		taxid:9606	Receptor tyrosine kinase		
475	Uniprot:P10599		taxid:9606			
476	Uniprot:H0YLI6		taxid:9606			
477	Uniprot:Q9Y572		taxid:9606	JAK/STAT		
478	Uniprot:P00367		taxid:9606			
479	Uniprot:Q96HS1		taxid:9606			
480	Uniprot:P06737		taxid:9606			
481	Uniprot:P15104		taxid:9606			
482	Uniprot:I3L4Z5		taxid:9606			
483	Uniprot:P48023		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway		
484	Uniprot:P25445		taxid:9606	Innate immune pathways|Receptor tyrosine kinase|TNF pathway		
485	Uniprot:Q4VX54		taxid:9606	Receptor tyrosine kinase		
486	Uniprot:Q9UNN5		taxid:9606			Endocytosis related|Scaffold
487	Uniprot:J3QQJ6		taxid:9606			
488	Uniprot:O95631		taxid:9606			
489	Uniprot:F8WCQ3		taxid:9606			
490	Uniprot:Q8IZJ1		taxid:9606			
491	Uniprot:H3BPG0		taxid:9606			
492	Uniprot:P10606		taxid:9606			
493	Uniprot:P20674		taxid:9606			
494	Uniprot:P09669		taxid:9606			
495	Uniprot:P24311		taxid:9606			
496	Uniprot:P15954		taxid:9606			
497	Uniprot:P00395		taxid:9606			
498	Uniprot:P00403		taxid:9606			
499	Uniprot:P00414		taxid:9606			
500	Uniprot:O15111		taxid:9606	B-cell receptor|Innate immune pathways|Notch|T-cell receptor|TGF|Toll-like receptor		Mediator
501	Uniprot:O15519		taxid:9606	TNF pathway		
502	Uniprot:Q96KJ9		taxid:9606			
503	Uniprot:Q8NEU8		taxid:9606			
504	Uniprot:H0Y9G2		taxid:9606			
505	Uniprot:P46934		taxid:9606	Notch|Receptor tyrosine kinase		Co-factor|Endocytosis related
506	Uniprot:Q9C000		taxid:9606	Innate immune pathways		
507	Uniprot:Q96BI3		taxid:9606	Notch		Co-factor|Scaffold
508	Uniprot:Q8WW43		taxid:9606			
509	Uniprot:E5RJX4		taxid:9606			
510	Uniprot:E7EMC7		taxid:9606			
511	Uniprot:Q9Y4K3		taxid:9606	Innate immune pathways|JAK/STAT|Receptor tyrosine kinase|TGF|Toll-like receptor		Co-factor|Endocytosis related|Mediator|Scaffold
512	Uniprot:P08138		taxid:9606			
513	Uniprot:P01138		taxid:9606	Receptor tyrosine kinase		Ligand
